Location_no,Location,Municipality,Province,Region,Country
1879,Kamerik,Kamerik,Utrecht,"",Nederland
1880,Kamerik Houtdijken,Kamerik Houtdijken,Utrecht,"",Nederland
1882,Kampen,Kampen,Overijssel,"",Nederland
1884,Kamperland,Wissenkerke (Noord Beveland),Zeeland,"",Nederland
1885,Kamperveen,Kamperveen,Overijssel,"",Nederland
1887,Kantens,Kantens,Groningen,"",Nederland
1888,Kapel Avezaath,Tiel,Gelderland,"",Nederland
1889,Kapelle,Kapelle,Zeeland,"",Nederland
1897,"Katwijk aan Zee, Katwijk aan de Rijn en 't Zand","Katwijk aan Zee, Katwijk aan de Rijn en 't Zand",Zuid-Holland,"",Nederland
1898,Katendrecht,Rotterdam,Zuid-Holland,"",Nederland
1900,Katlijk,Schoterland,Friesland,"",Nederland
1901,Kats,Kats,Zeeland,"",Nederland
1902,Kattendijke,Kattendijke,Zeeland,"",Nederland
1903,Katwijk,Katwijk,Zuid-Holland,"",Nederland
1904,Katwijk aan den Rijn,Katwijk,Zuid-Holland,"",Nederland
1905,Katwijk aan Zee,Katwijk,Zuid-Holland,"",Nederland
1906,Katwoude,Katwoude,Noord-Holland,"",Nederland
1908,Kedichem,Kedichem,Zuid-Holland,"",Nederland
1909,Kinderdijk,Nieuw-Lekkerland,Zuid-Holland,"",Nederland
1911,Kekerdom,Ubbergen,Gelderland,"",Nederland
1913,Kootwijk,Barneveld,Gelderland,"",Nederland
1921,Keppel,Keppel,Gelderland,"",Nederland
1923,Kerk-Avezaath,Zoelen,Gelderland,"",Nederland
1924,Kerkrade,Kerkrade,Limburg,"",Nederland
1925,Kerkwerve,Kerkwerve,Zeeland,"",Nederland
1926,Kerkwijk,Kerkwijk,Gelderland,"",Nederland
1928,Kessel,Kessel,Noord-Brabant,"",Nederland
1931,Kesteren,Kesteren,Gelderland,"",Nederland
1932,Kethel,Kethel en Spaland,Zuid-Holland,"",Nederland
1933,Kethel en Spaland,Kethel en Spaland,Zuid-Holland,"",Nederland
1942,Kimswerd,Wonseradeel,Friesland,"",Nederland
1943,Kinderdijk,Alblasserdam,Zuid-Holland,"",Nederland
1944,Kinderdijk,Nieuw-Lekkerland,Zuid-Holland,"",Nederland
1949,Klaaswaal,Klaaswaal,Zuid-Holland,"",Nederland
1951,Klazienaveen,Emmen,Drenthe,"",Nederland
1952,Klazinaveen,Emmen,Drenthe,"",Nederland
1955,Klein-Ammers,Ammerstol,Zuid-Holland,"",Nederland
1956,Kleine Lindt,Kleine Lindt,Zuid-Holland,"",Nederland
1957,Kleverskerke,Kleverskerke,Zeeland,"",Nederland
1958,Klimmen,Klimmen,Limburg,"",Nederland
1959,Kloetinge,Kloetinge,Zeeland,"",Nederland
1960,Klooster Anjum,Menaldumadeel,Friesland,"",Nederland
1961,Klooster Lidlum,Barradeel,Friesland,"",Nederland
1962,Klooster Sion,Oostdongeradeel,Friesland,"",Nederland
1963,Kloosterburen,Kloosterburen,Groningen,"",Nederland
1964,Kloosterzande,Hulst,Zeeland,"",Nederland
1965,Klundert,Klundert,Noord-Brabant,"",Nederland
1970,Kockengen,Kockengen,Utrecht,"",Nederland
1971,Koedijk,Koedijk,Noord-Holland,"",Nederland
1972,Koedijk,Sint Pancras,Noord-Holland,"",Nederland
1973,Klein-Agelo,Denekamp,Overijssel,"",Nederland
1976,Koewacht,Koewacht,Zeeland,"",Nederland
1980,Kolderwolde,Hemelumer Oldeferd,Friesland,"",Nederland
1981,Kolham,Slochteren,Groningen,"",Nederland
1982,Kollum,Kollumerland en Nieuwkruisland,Friesland,"",Nederland
1984,Kollumerland en Nieuwkruisland,Kollumerland en Nieuwkruisland,Friesland,"",Nederland
1985,Kollumerzwaag,Kollumerland en Nieuwkruisland,Friesland,"",Nederland
1986,Kommerzijl,Grijpskerk,Groningen,"",Nederland
1987,Kommerzijl,Grijpskerk,Groningen,"",Nederland
1989,Koog aan de Zaan,Koog aan de Zaan,Noord-Holland,"",Nederland
1990,Kooten,Achtkarspelen,Friesland,"",Nederland
1991,Kootstertille,Achtkarspelen,Friesland,"",Nederland
1992,Kootwijkerbroek,Barneveld,Gelderland,"",Nederland
1995,Kortehemmen,Smallingerland,Friesland,"",Nederland
1996,Kortenhoef,Kortenhoef,Noord-Holland,"",Nederland
1997,Kortezwaag,Opsterland,Friesland,"",Nederland
1998,Kortgene,Kortgene,Zeeland,"",Nederland
2000,Kotten,Winterswijk,Gelderland,"",Nederland
2001,Koudekerk,Koudekerk (ZH),Zuid-Holland,"",Nederland
2002,Koudekerk aan den Rijn,Koudekerk aan den Rijn,Zuid-Holland,"",Nederland
2003,Koudekerke (Walcheren),Koudekerke (Walcheren),Zeeland,"",Nederland
2004,Koudum,Hemelumer Oldeferd,Friesland,"",Nederland
2006,Krabbendam,Warmenhuizen,Noord-Holland,"",Nederland
2007,Krabbendijke,Krabbendijke,Zeeland,"",Nederland
2008,Kralingen,Kralingen,Zuid-Holland,"",Nederland
2011,Kranenburg,Valkenswaard,Noord-Brabant,"",Nederland
2015,Krewerd,Bierum,Groningen,"",Nederland
2016,Krimpen,Krimpen aan de Lek,Zuid-Holland,"",Nederland
2018,Krimpen aan de Lek,Krimpen aan de Lek,Zuid-Holland,"",Nederland
2019,Krimpen aan den IJssel,Krimpen aan den IJssel,Zuid-Holland,"",Nederland
2022,Krommenie,Krommenie,Noord-Holland,"",Nederland
2024,Kropswolde,Hoogezand,Groningen,"",Nederland
2025,Kruiningen,Kruiningen,Zeeland,"",Nederland
2026,Kubaard,Hennaarderadeel,Friesland,"",Nederland
2027,Kuikhorne,Tietjerksteradeel,Friesland,"",Nederland
2028,Kuinre,Kuinre,Overijssel,"",Nederland
2029,Kwadendamme,Borsele,Zeeland,"",Nederland
2030,Kwadijk,Kwadijk,Noord-Holland,"",Nederland
2032,Laag-Keppel,Hummelo en Keppel,Gelderland,"",Nederland
2033,Laag-Nieuwkoop,Laag-Nieuwkoop,Utrecht,"",Nederland
2034,Laag-Soeren,Rheden,Gelderland,"",Nederland
2037,Laar,Weert,Limburg,"",Nederland
2040,Lage Mierde,Hooge en Lage Mierde,Noord-Brabant,"",Nederland
2041,Lage Vuursche,Baarn,Utrecht,"",Nederland
2042,Lage Zwaluwe,Hooge en Lage Zwaluwe,Noord-Brabant,"",Nederland
2046,Landgraaf,Landgraaf,Limburg,"",Nederland
2047,Landsmeer,Landsmeer,Noord-Holland,"",Nederland
2048,Langbroek,Langbroek,Utrecht,"",Nederland
2050,Lange Ruige Weide,Lange Ruige Weide,Zuid-Holland,"",Nederland
2051,Langedijk,Langedijk,Noord-Holland,"",Nederland
2052,Langedijke,Ooststellingwerf,Friesland,"",Nederland
2053,Langerak,Langerak,Zuid-Holland,"",Nederland
2054,Langereis,Hoogwoud,Noord-Holland,"",Nederland
2055,Langeveen,Tubbergen,Overijssel,"",Nederland
2056,Langeweide,Driebruggen,Zuid-Holland,"",Nederland
2057,Langezwaag,Opsterland,Friesland,"",Nederland
2058,Langweer,Doniawerstal,Friesland,"",Nederland
2062,Laren,Laren (Ge),Gelderland,"",Nederland
2063,Laren,Laren (NH),Noord-Holland,"",Nederland
2064,Laude,Vlagtwedde,Groningen,"",Nederland
2069,Ledeacker,"Oploo, Sint Anthonis en Ledeacker",Noord-Brabant,"",Nederland
2071,Leek,Leek,Groningen,"",Nederland
2072,Leende,Leende,Noord-Brabant,"",Nederland
2073,Leens,Leens,Groningen,"",Nederland
2076,Leerbroek,Leerbroek,Zuid-Holland,"",Nederland
2077,Leerdam,Leerdam,Zuid-Holland,"",Nederland
2078,Leermens,Zandt 't,Groningen,"",Nederland
2079,Leersum,Leersum,Utrecht,"",Nederland
2079,Unknown,Unknown,Unknown,"",Unknown
2080,Leeuwarden,Leeuwarden,Friesland,"",Nederland
2081,Leeuwarderadeel,Leeuwarderadeel,Friesland,"",Nederland
2082,Leeuwen,Wamel,Gelderland,"",Nederland
2083,Legemeer,Doniawerstal,Friesland,"",Nederland
2084,Leiden,Leiden,Zuid-Holland,"",Nederland
2085,Leiderdorp,Leiderdorp,Zuid-Holland,"",Nederland
2086,Leidschendam,Leidschendam,Zuid-Holland,"",Nederland
2087,Leimuiden,Leimuiden,Zuid-Holland,"",Nederland
2089,Lekkerkerk,Lekkerkerk,Zuid-Holland,"",Nederland
2090,Lekkum,Leeuwarderadeel,Friesland,"",Nederland
2091,Lellens,Ten Boer,Groningen,"",Nederland
2092,Lelystad,Lelystad,Flevoland,"",Nederland
2093,Lelystad,"Zuidelijke IJsselmeerpolders, Openbaar Lichaam",Flevoland,"",Nederland
2095,Lemele,Ommen,Overijssel,"",Nederland
2096,Lemelerveld,Ommen Ambt,Overijssel,"",Nederland
2097,Leur,Etten en Leur,Noord-Brabant,"",Nederland
2098,Lemmer,Lemsterland,Friesland,"",Nederland
2098,Unknown,Unknown,Unknown,"",Unknown
2099,Lemsterland,Lemsterland,Friesland,"",Nederland
2101,Lent,Elst,Gelderland,"",Nederland
2103,Lettelbert,Leek,Groningen,"",Nederland
2104,Leur,Bergharen,Gelderland,"",Nederland
2105,Leur,Etten en Leur,Noord-Brabant,"",Nederland
2106,Leusden,Leusden,Utrecht,"",Nederland
2108,Leuth,Ubbergen,Gelderland,"",Nederland
2109,Leutingewolde,Roden,Drenthe,"",Nederland
2111,Leuvenum,Ermelo,Gelderland,"",Nederland
2112,Winsum,Winsum,Groningen,"",Nederland
2113,Lewedorp,'s-Heer Arendskerke,Zeeland,"",Nederland
2115,Lexmond,Lexmond,Zuid-Holland,"",Nederland
2116,Lichtaard,Ferwerderadeel,Friesland,"",Nederland
2117,Lichtenvoorde,Lichtenvoorde,Gelderland,"",Nederland
2118,Liempde,Liempde,Noord-Brabant,"",Nederland
2119,Lienden,Lienden,Gelderland,"",Nederland
2121,Lierop,Lierop,Noord-Brabant,"",Nederland
2122,Lieshout,Lieshout,Noord-Brabant,"",Nederland
2123,Liesveld,Liesveld,Zuid-Holland,"",Nederland
2125,Limbricht,Limbricht,Limburg,"",Nederland
2126,Limmel,Meerssen,Limburg,"",Nederland
2127,Limmen,Limmen,Noord-Holland,"",Nederland
2130,Linden,Linden,Noord-Brabant,"",Nederland
2133,Lingewaal,Lingewaal,Gelderland,"",Nederland
2134,Lingewaard,Lingewaard,Gelderland,"",Nederland
2136,Linne,Linne,Limburg,"",Nederland
2138,Linschoten,Linschoten,Utrecht,"",Nederland
2139,Lintelo,Aalten,Gelderland,"",Nederland
2140,Lioessens,Oostdongeradeel,Friesland,"",Nederland
2141,Lions,Baarderadeel,Friesland,"",Nederland
2143,Lippenhuizen,Opsterland,Friesland,"",Nederland
2145,Lisse,Lisse,Zuid-Holland,"",Nederland
2146,Lith,Lith,Noord-Brabant,"",Nederland
2147,Lithoijen,Lith,Noord-Brabant,"",Nederland
2148,Littenseradeel,Littenseradeel,Friesland,"",Nederland
2152,Lobith,Herwen en Aerdt,Gelderland,"",Nederland
2155,Lochem,Lochem,Gelderland,"",Nederland
2156,Loenen,Apeldoorn,Gelderland,"",Nederland
2160,Loenen,Loenen (UT),Utrecht,"",Nederland
2161,Loenen en Wolveren,Loenen en Wolferen,Gelderland,"",Nederland
2162,Loenersloot,Loenersloot,Utrecht,"",Nederland
2164,Loenga,Wymbritseradeel,Friesland,"",Nederland
2166,Lollum,Wonseradeel,Friesland,"",Nederland
2169,Longerhouw,Wonseradeel,Friesland,"",Nederland
2170,Lonneker,Lonneker,Overijssel,"",Nederland
2171,Loon op Zand,Loon op Zand,Noord-Brabant,"",Nederland
2172,Loosdrecht,Loosdrecht,Utrecht,"",Nederland
2173,Loosduinen,'s-Gravenhage,Zuid-Holland,"",Nederland
2174,Lula,Hoogezand,Groningen,"",Nederland
2175,Lopik,Lopik,Utrecht,"",Nederland
2176,Loppersum,Loppersum,Groningen,"",Nederland
2178,Losdorp,Bierum,Groningen,"",Nederland
2179,Losser,Losser,Overijssel,"",Nederland
2180,Lottum,Grubbenvorst,Limburg,"",Nederland
2183,Luchtenveld,Smallingerland,Friesland,"",Nederland
2190,Luinjeberd,Aengwirden,Friesland,"",Nederland
2191,Lunteren,Ede (Ge),Gelderland,"",Nederland
2192,Lutjebroek,Grootebroek,Noord-Holland,"",Nederland
2193,Lutjegast,Grootegast,Groningen,"",Nederland
2194,Makkum,Wonseradeel,Friesland,"",Nederland
2195,Lutjepost,Achtkarspelen,Friesland,"",Nederland
2196,Lutjewinkel,Winkel,Noord-Holland,"",Nederland
2197,Lutkewierum,Hennaarderadeel,Friesland,"",Nederland
2198,Lutkewoude,Kollumerland en Nieuwkruisland,Friesland,"",Nederland
2199,Lutten,Hardenberg,Overijssel,"",Nederland
2200,Luttenberg,Raalte,Overijssel,"",Nederland
2201,Lutterade,Geleen,Limburg,"",Nederland
2204,Luxwoude,Opsterland,Friesland,"",Nederland
2205,Luyksgestel,Bergeijk,Noord-Brabant,"",Nederland
2208,Maarheeze,Maarheeze,Noord-Brabant,"",Nederland
2209,Maarn,Maarn,Utrecht,"",Nederland
2210,Maarsbergen,Maarn,Utrecht,"",Nederland
2211,Maarssen,Maarssen,Utrecht,"",Nederland
2212,Maarssenbroek,Maarssenbroek,Utrecht,"",Nederland
2213,Maarsseveen,Maarsseveen,Utrecht,"",Nederland
2214,Maartensdijk,Maartensdijk,Utrecht,"",Nederland
2215,Maasbommel,Appeltern,Gelderland,"",Nederland
2216,Mander,Tubbergen,Overijssel,"",Nederland
2216,Noordwijk,Marum,Groningen,"",Nederland
2217,Maasbracht,Maasbracht,Limburg,"",Nederland
2218,Maasbree,Maasbree,Limburg,"",Nederland
2219,Maasdam,Maasdam,Zuid-Holland,"",Nederland
2220,Maasdijk,Maasland,Zuid-Holland,"",Nederland
2221,Maasdriel,Maasdriel,Gelderland,"",Nederland
2223,Maashees,Maashees en Overloon,Noord-Brabant,"",Nederland
2224,Maashees en Overloon,Maashees en Overloon,Noord-Brabant,"",Nederland
2225,Maasland,Maasland,Zuid-Holland,"",Nederland
2226,Maasniel,Maasniel,Limburg,"",Nederland
2227,Maassluis,Maassluis,Zuid-Holland,"",Nederland
2228,Maastricht,Maastricht,Limburg,"",Nederland
2229,Unknown,Marum,Groningen,"",Nederland
2230,Made,Made en Drimmelen,Noord-Brabant,"",Nederland
2231,Made en Drimmelen,Made en Drimmelen,Noord-Brabant,"",Nederland
2237,Maire,Maire,Zeeland,"",Nederland
2238,Maire,Rilland-Bath,Zeeland,"",Nederland
2240,Makkinga,Ooststellingwerf,Friesland,"",Nederland
2241,Makkum,Wonseradeel,Friesland,"",Nederland
2245,Malden,Heumen,Gelderland,"",Nederland
2251,Mantgum,Baarderadeel,Friesland,"",Nederland
2255,Margraten,Margraten,Limburg,"",Nederland
2256,Mechelen,Wittem,Limburg,"",Nederland
2257,Markelo,Markelo,Overijssel,"",Nederland
2258,Marken,Marken,Noord-Holland,"",Nederland
2259,Markluiden,Heerde,Gelderland,"",Nederland
2260,Marknesse,Noordoostpolder,Overijssel,"",Nederland
2261,Marle,Wijhe,Overijssel,"",Nederland
2262,Marrum,Ferwerderadeel,Friesland,"",Nederland
2264,Marssum,Menaldumadeel,Friesland,"",Nederland
2265,Marsum,Delfzijl,Groningen,"",Nederland
2267,Martenshoek,Hoogezand,Groningen,"",Nederland
2268,Marum,Leeuwarderadeel,Friesland,"",Nederland
2269,Marum,Marum,Groningen,"",Nederland
2270,Mastenbroek,Zwollerkerspel,Overijssel,"",Nederland
2273,Maurik,Maurik,Gelderland,"",Nederland
2277,Meddo,Winterswijk,Gelderland,"",Nederland
2278,Medemblik,Medemblik,Noord-Holland,"",Nederland
2279,Meeden,Meeden,Groningen,"",Nederland
2280,Meedhuizen,Delfzijl,Groningen,"",Nederland
2281,Meer,Schoterland,Friesland,"",Nederland
2282,Meers,Elsloo,Limburg,"",Nederland
2283,Meerdervoort,Zwijndrecht,Zuid-Holland,"",Nederland
2285,Meerenberg,Bloemendaal (NH),Noord-Holland,"",Nederland
2286,Meerkerk,Meerkerk,Zuid-Holland,"",Nederland
2288,Meerlo,Meerlo,Limburg,"",Nederland
2289,Meerlo-Wanssum,Meerlo-Wanssum,Limburg,"",Nederland
2291,Meerssen,Meerssen,Limburg,"",Nederland
2293,Meerveldhoven,Veldhoven en Meerveldhoven,Noord-Brabant,"",Nederland
2294,Meerwijk,Empel en Meerwijk,Noord-Brabant,"",Nederland
2296,Meeuwen,Eethen,Noord-Brabant,"",Nederland
2297,Meeuwen,"Meeuwen, Hill en Babyloniënbroek",Noord-Brabant,"",Nederland
2298,Megen,"Megen, Haren en Macharen",Noord-Brabant,"",Nederland
2299,"Megen, Haren en Macharen","Megen, Haren en Macharen",Noord-Brabant,"",Nederland
2301,Meijel,Meijel,Limburg,"",Nederland
2303,Melick,Melick en Herkenbosch,Limburg,"",Nederland
2304,Melick en Herkenbosch,Melick en Herkenbosch,Limburg,"",Nederland
2305,Meliskerke,Meliskerke,Zeeland,"",Nederland
2306,Melissant,Melissant,Zuid-Holland,"",Nederland
2308,Menaldum,Menaldumadeel,Friesland,"",Nederland
2309,Menaldumadeel,Menaldumadeel,Friesland,"",Nederland
2310,Mensingeweer,Leens,Groningen,"",Nederland
2311,Menterwolde,Menterwolde,Groningen,"",Nederland
2313,Meppel,Meppel,Drenthe,"",Nederland
2317,Merkelbeek,Merkelbeek,Limburg,"",Nederland
2319,Mesch,Mesch,Limburg,"",Nederland
2320,Meteren,Geldermalsen,Gelderland,"",Nederland
2321,Metslawier,Oostdongeradeel,Friesland,"",Nederland
2324,Mheer,Mheer,Limburg,"",Nederland
2325,Middelaar,Mook en Middelaar,Limburg,"",Nederland
2326,Middelbeers,Oost- West- en Middelbeers,Noord-Brabant,"",Nederland
2329,Middelburg,Middelburg (ZH),Zuid-Holland,"",Nederland
2330,Middelburg,Middelburg (Ze),Zeeland,"",Nederland
2331,Middelharnis,Middelharnis,Zuid-Holland,"",Nederland
2332,Middelie,Middelie,Noord-Holland,"",Nederland
2333,Middelstum,Middelstum,Groningen,"",Nederland
2334,Midden-Delfland,Midden-Delfland,Zuid-Holland,"",Nederland
2335,Midden-Drenthe,Midden-Drenthe,Drenthe,"",Nederland
2336,Middenmeer,Wieringermeer,Noord-Holland,"",Nederland
2337,Middenschouwen,Middenschouwen,Zeeland,"",Nederland
2338,Middenveld,Middenveld,Drenthe,"",Nederland
2339,Midlum,Franekeradeel,Friesland,"",Nederland
2340,Midsland,Terschelling,Friesland,"",Nederland
2341,Midwolda,Midwolda,Groningen,"",Nederland
2342,Midwolde,Leek,Groningen,"",Nederland
2343,Midwoud,Midwoud,Noord-Holland,"",Nederland
2344,Miedum,Leeuwarderadeel,Friesland,"",Nederland
2345,Mierlo,Mierlo,Noord-Brabant,"",Nederland
2346,Mijdrecht,Mijdrecht,Utrecht,"",Nederland
2347,Mijnsheerenland,Mijnsheerenland,Zuid-Holland,"",Nederland
2349,Mildam,Schoterland,Friesland,"",Nederland
2350,Mill,Mill en Sint Hubert,Noord-Brabant,"",Nederland
2351,Mill en Sint Hubert,Mill en Sint Hubert,Noord-Brabant,"",Nederland
2355,Millingen,Millingen,Gelderland,"",Nederland
2357,Millingen aan de Rijn,Millingen aan de Rijn,Gelderland,"",Nederland
2362,Minnertsga,Barradeel,Friesland,"",Nederland
2363,Mirns,Gaasterland,Friesland,"",Nederland
2364,Mirns en Bakhuizen,Gaasterland,Friesland,"",Nederland
2366,Miste,Winterswijk,Gelderland,"",Nederland
2367,Moddergat,Westdongeradeel,Friesland,"",Nederland
2369,Moerdijk,Hooge en Lage Zwaluwe,Noord-Brabant,"",Nederland
2371,Moergestel,Moergestel,Noord-Brabant,"",Nederland
2372,Moerhuizen,Moerhuizen,Zuid-Holland,"",Nederland
2373,Moerkapelle,Moerkapelle,Zuid-Holland,"",Nederland
2377,Molenaarsgraaf,Molenaarsgraaf,Zuid-Holland,"",Nederland
2381,Molenberg,Heerlen,Limburg,"",Nederland
2382,Molenrij,Kloosterburen,Groningen,"",Nederland
2383,Molkwerum,Hemelumer Oldeferd,Friesland,"",Nederland
2387,Monnickendam,Monnickendam,Noord-Holland,"",Nederland
2389,Monster,Monster,Zuid-Holland,"",Nederland
2393,Montfoort,Montfoort,Utrecht,"",Nederland
2394,Montfort,Montfort,Limburg,"",Nederland
2399,Mook,Mook en Middelaar,Limburg,"",Nederland
2400,Mook en Middelaar,Mook en Middelaar,Limburg,"",Nederland
2401,Moordrecht,Moordrecht,Zuid-Holland,"",Nederland
2404,Morra,Oostdongeradeel,Friesland,"",Nederland
2411,Muiden,Muiden,Noord-Holland,"",Nederland
2412,Muiderberg,Muiden,Noord-Holland,"",Nederland
2414,Munnekeburen,Weststellingwerf,Friesland,"",Nederland
2415,Munnekemoer,Vlagtwedde,Groningen,"",Nederland
2416,Munnekezijl,Kollumerland en Nieuwkruisland,Friesland,"",Nederland
2418,Munstergeleen,Munstergeleen,Limburg,"",Nederland
2419,Muntendam,Muntendam,Groningen,"",Nederland
2421,Murmerwoude,Dantumadeel,Friesland,"",Nederland
2422,Mussel,Onstwedde,Groningen,"",Nederland
2424,Naaldwijk,Naaldwijk,Zuid-Holland,"",Nederland
2425,Naarden,Naarden,Noord-Holland,"",Nederland
2429,Nederasselt,Overasselt,Gelderland,"",Nederland
2430,Nederhemert,Nederhemert,Gelderland,"",Nederland
2431,Nederhorst den Berg,Nederhorst den Berg,Noord-Holland,"",Nederland
2432,Nederlangbroek,Langbroek,Utrecht,"",Nederland
2433,Nederlek,Nederlek,Zuid-Holland,"",Nederland
2434,Nederweert,Nederweert,Limburg,"",Nederland
2435,Nederwoud,Ede (Ge),Gelderland,"",Nederland
2436,Neede,Neede,Gelderland,"",Nederland
2437,Neer,Neer,Limburg,"",Nederland
2438,Neerbosch,Nijmegen,Gelderland,"",Nederland
2439,Neerijnen,Neerijnen,Gelderland,"",Nederland
2440,Neeritter,Neeritter,Limburg,"",Nederland
2441,Neerkant,Deurne,Noord-Brabant,"",Nederland
2444,Nes,Ameland,Friesland,"",Nederland
2445,Nijkerk,Oostdongeradeel,Friesland,"",Nederland
2445,Nes,Nieuwer-Amstel,Noord-Holland,"",Nederland
2446,Nes,Utingeradeel,Friesland,"",Nederland
2447,Nes,Westdongeradeel,Friesland,"",Nederland
2448,Nes aan de Amstel,Nieuwer-Amstel,Noord-Holland,"",Nederland
2449,Netersel,Bladel,Noord-Brabant,"",Nederland
2450,Nettelhorst,Laren (Ge),Gelderland,"",Nederland
2451,Netterden,Gendringen,Gelderland,"",Nederland
2472,Niawier,Oostdongeradeel,Friesland,"",Nederland
2473,Nibbixwoud,Nibbixwoud,Noord-Holland,"",Nederland
2475,Niebert,Marum,Groningen,"",Nederland
2476,Niedorp,Niedorp,Noord-Holland,"",Nederland
2477,Niekerk,Oldekerk,Groningen,"",Nederland
2478,Niehove,Oldehove,Groningen,"",Nederland
2479,Niekerk,Ulrum,Groningen,"",Nederland
2481,Nieuw Beerta,Beerta,Groningen,"",Nederland
2482,Nieuw- en Sint Joosland,Nieuw- en Sint Joosland,Zeeland,"",Nederland
2483,Nieuw-Weerdinge,Emmen,Drenthe,"",Nederland
2484,Nieuwaal,Gameren,Gelderland,"",Nederland
2485,Nieuw-Amsterdam,Emmen,Drenthe,"",Nederland
2486,Nieuw-Beijerland,Nieuw-Beijerland,Zuid-Holland,"",Nederland
2487,Nieuw-Buinen,Borger,Drenthe,"",Nederland
2488,Nieuwburen,Lemsterland,Friesland,"",Nederland
2489,Nieuwdorp,'s-Heer Arendskerke,Zeeland,"",Nederland
2490,Nieuwe Niedorp,Nieuwe Niedorp,Noord-Holland,"",Nederland
2491,Nieuwe Pekela,Nieuwe Pekela,Groningen,"",Nederland
2492,Nieuwe Tonge,Nieuwe Tonge,Zuid-Holland,"",Nederland
2493,Unknown,Unknown,Unknown,"",Unknown
2493,Nieuwebildtzijl,Het Bildt,Friesland,"",Nederland
2494,Nieuwebrug,Haskerland,Friesland,"",Nederland
2495,Nieuwediep,Gieten,Drenthe,"",Nederland
2496,Nieuwegein,Nieuwegein,Utrecht,"",Nederland
2497,Nieuwehaske,Haskerland,Friesland,"",Nederland
2498,Nieuwehorne,Heerenveen,Friesland,"",Nederland
2499,Nieuwehorne,Schoterland,Friesland,"",Nederland
2500,Nieuwendam,Nieuwendam,Noord-Holland,"",Nederland
2501,Nieuwendijk,Werkendam,Noord-Brabant,"",Nederland
2502,Nieuwenhagen,Nieuwenhagen,Limburg,"",Nederland
2503,Nieuwenhoorn,Nieuwenhoorn,Zuid-Holland,"",Nederland
2504,Nieuwer Ter Aa,Ruwiel,Utrecht,"",Nederland
2505,Nieuwer-Amstel,Amstelveen,Noord-Holland,"",Nederland
2506,Nieuwer-Amstel,Nieuwer-Amstel,Noord-Holland,"",Nederland
2507,Nieuwerkerk (Duiveland),Nieuwerkerk (Duiveland),Zeeland,"",Nederland
2508,Nieuwerkerk aan de Amstel,Nieuwer-Amstel,Noord-Holland,"",Nederland
2509,Nieuwerkerk aan den IJssel,Nieuwerkerk aan den IJssel,Zuid-Holland,"",Nederland
2510,Nieuwersluis,Loenen (UT),Utrecht,"",Nederland
2511,Nieuweschans,Nieuweschans,Groningen,"",Nederland
2512,Nieuweschoot,Heerenveen,Friesland,"",Nederland
2513,Nieuweschoot,Schoterland,Friesland,"",Nederland
2514,Nieuw-Ginneken,Nieuw-Ginneken,Noord-Brabant,"",Nederland
2515,Nieuw-Heeten,Raalte,Overijssel,"",Nederland
2516,Nieuw-Helvoet,Nieuw-Helvoet,Zuid-Holland,"",Nederland
2517,Nieuwkoop,Nieuwkoop,Zuid-Holland,"",Nederland
2517,Unknown,Unknown,Unknown,"",Unknown
2518,Nieuwkuijk,Nieuwkuijk,Noord-Brabant,"",Nederland
2519,Nieuwland,Nieuwland (ZH),Zuid-Holland,"",Nederland
2520,Nieuw-Lekkerkerk,Nieuw-Lekkerland,Zuid-Holland,"",Nederland
2521,Nieuw-Lekkerland,Nieuw-Lekkerland,Zuid-Holland,"",Nederland
2522,Nieuwleusen,Nieuwleusen,Overijssel,"",Nederland
2523,Nieuw-Loosdrecht,Loosdrecht,Utrecht,"",Nederland
2525,Nieuwolda,Nieuwolda,Groningen,"",Nederland
2526,Nieuwpoort,Nieuwpoort,Zuid-Holland,"",Nederland
2527,Nieuw-Roden,Roden,Drenthe,"",Nederland
2528,Nieuw-Scheemda,Scheemda,Groningen,"",Nederland
2529,Nieuwstadt,Nieuwstadt,Limburg,"",Nederland
2530,Nieuwveen,Nieuwveen,Zuid-Holland,"",Nederland
2531,Nieuw-Vennep,Haarlemmermeer,Noord-Holland,"",Nederland
2533,Nieuwvliet,Nieuwvliet,Zeeland,"",Nederland
2534,Nieuw-Vossemeer,Nieuw-Vossemeer,Noord-Brabant,"",Nederland
2535,Niezijl,Grijpskerk,Groningen,"",Nederland
2536,Nigtevecht,Nigtevecht,Utrecht,"",Nederland
2537,Nijbroek,Voorst,Gelderland,"",Nederland
2538,Nijeberkoop,Ooststellingwerf,Friesland,"",Nederland
2539,Nijefurd,Nijefurd,Friesland,"",Nederland
2540,Nijega,Doniawerstal,Friesland,"",Nederland
2541,Nijega,Hemelumer Oldeferd,Friesland,"",Nederland
2542,Nijega,Smallingerland,Friesland,"",Nederland
2543,Nijehaske,Haskerland,Friesland,"",Nederland
2544,Nijeholtpade,Weststellingwerf,Friesland,"",Nederland
2545,Nijeholtwolde,Weststellingwerf,Friesland,"",Nederland
2546,Nijelamer,Weststellingwerf,Friesland,"",Nederland
2547,Nijemirdum,Gaasterland,Friesland,"",Nederland
2548,Nijensleek,Vledder,Drenthe,"",Nederland
2549,Nijetrijne,Weststellingwerf,Friesland,"",Nederland
2550,Nijeveen,Nijeveen,Drenthe,"",Nederland
2551,Nijhuizum,Wymbritseradeel,Friesland,"",Nederland
